Zlato za 10 000 dolarů?	$10,000 Gold?
Dobrou zprávou je, že po nedávné návštěvě prezidenta Chu Ťin-tchaa ve Washingtonu Amerika i Čína uskutečňují pozitivní kroky k vyřešení svých sporů nad bilaterální bilancí běžného účtu.	The good news is that, following President Hu Jintao’s recent visit to Washington, both America and China have been taking positive steps to resolve their differences over the bilateral current-account balance.
To je dobrým znamením pro racionálnější a konstruktivnější čínsko-americký dialog o globálních nevyváženostech, který by určitě prospěl celé globální ekonomice.	That augurs well for a more rational and constructive Sino-American dialogue on global imbalances, which would certainly benefit the global economy.
	
Abba Eban: Hlas Izraele	Abba Eban: The Voice of Israel
Po téměř dvě generace byl Abba Eban hlasem Izraele - jeho kurýrem k vysoce postaveným a mocným mezi národy a k židovskému národu po celém světě.	For almost two generations, Abba Eban was Israel's voice - its messenger to the high and mighty among the nations as well as to the Jewish people all over the world.
Od dob, kdy se na konci 40. let prvně objevil po boku dr. Chaima Weizmanna během boje za židovskou státnost a suverenitu, nebylo mnoho těch, kdo by dokázali vyjádřit sionistické a později izraelské zájmy s porovnatelnou výmluvností a přesvědčením.	Since he first appeared at the side of Dr. Chaim Weizmann in the late 1940's during the struggle for Jewish statehood and sovereignty, few people could articulate the Zionist and later the Israeli case with comparable eloquence and conviction.
Prostřednictvím churchillské prózy a téměř shakespearovských kadencí jeho zvučný hlas po desetiletí šířil slovy chutnajícími po medu poselství naděje z lůna národa, který mohl veškerou naději a důvěru v lidstvo ztratit během hrůz druhé světové války.	With his Churchillian prose and almost Shakespearean cadences, his mellifluous phrases and sonorous voice carried for decades a message of hope from a people that could have lost all hope and trust in humanity after the horrors of World War II.
Jako velvyslanec ve Spojených státech a v OSN a později ministr zahraničí zastupoval Izrael, s nímž se mohla ztotožnit světová liberální představivost.	As Ambassador to the United States and the UN, and later as Foreign Minister, he represented an Israel with which the world's liberal imagination could identify.
Větší a mocnější národy hleděly se závistí na tak dobrého řečníka a jeho projevy se staly učebnicovými příklady pro státníky a diplomaty v odlehlých zemích.	Larger and more powerful nations were envious of so a powerful spokesman, and his speeches became textbook models for statesmen and diplomats in distant lands.
Jeho knihy - na jejichž psaní si našel čas i přes hektické nároky diplomacie - byly jedinečnou kombinací ohromné erudice a krystalické jasnosti.	His books - which he found time to write despite the hectic demands of diplomacy - were a unique combination of enormous erudition and crystalline clarity.
Jeho akademické vzdělání a rétorické nadání se ojedinělým způsobem doplňovaly.	His scholarly training and rhetorical gifts supplemented each other in a rare fashion.
Jen vzácně malou zemi zastupoval státník takového světového formátu: srovnávat lze snad jen s Tomášem Masarykem a Janem Smutsem.	Rarely has a small country been represented by a statesman of such world stature: only Thomas Masaryk and Jan Smuts come to mind to compare with him.
Byl pravým patriotem v původním smyslu slova: hrdý na svůj národ, ale nikdy etnocentrický; světa znalý, ale hluboce zakořeněný v židovském kulturním dědictví; soustředěný na potíže a bolesti židovského národa, ale nikdy bez souvislosti s celosvětovým obzorem lidstva.	He was a true patriot, in the old-fashioned sense of the word: proud of his people, but never ethno-centric; a man of the world, but deeply embedded in Jewish cultural heritage; focused on the plights and tribulations of the Jewish people, but never losing the universal horizon of mankind.
Krátce, byl moderním Židem v nejlepším smyslu slova.	In short, he was a modern Jew in the best sense of the word.
O premiéru Levi Eškolovi bylo řečeno, že hovořil sedmi jazyky a všemi v jidiš.	It was said of Prime Minister Levi Eshkol that he spoke seven languages, all of them in Yiddish.
O Ebanovi by se dalo říci, že hovořil deseti jazyky a všemi s oxfordským či cambridgeským přízvukem.	Of Eban it could be said that he spoke ten languages, and all of them with an Oxford/Cambridge accent.
Co přitahovalo okolní svět, nebylo ovšem vždy aktivem v izraelské politice ostrých loktů.	Yet what appealed to the outside world was not always an asset in the rough and tumble of Israeli politics.
Eban byl možná příliš uhlazený, měl snad příliš mnoho ze vzdělance a džentlmena, aby uspěl - použijeme-li Disraeliho obrat - při šplhání na tomto žebříku.	Perhaps Eban was too urbane, too much of a scholar and gentleman to be able to make it - in Disraeli's phrase - to the top of the greasy pole.
Společně s Goldou Meirovou a Moše Dajanem musel opustit vládu roku 1974 v důsledku jomkipurské války.	Together with Golda Meir and Moshe Dayan he had to leave government in 1974 in the wake of the Yom Kippur War.
Jen stěží mohl být odpovědný za aroganci, která vedla k lavině událostí roku 1973, a přece jej také smetla.	He could hardly have been held responsible for the hubris which led to the avalanche of 1973, yet it nonetheless brought him down as well.
Nikdy už nenašel cestu zpátky a tváří v tvář Nové politice primárek a populismu byl sklíčený, když se s novým stylem nedokázal vypořádat.	He never found his way back, and when confronted with the New Politics of primaries and populism, he became dispirited when he could not cope with this new style.
Na mezinárodním kolbišti bylo Ebanovi jeho pero mečem a mluvené slovo kopím.	In the international arena, Eban's pen was his sword, and the spoken word his lance.
Méně zdatný byl v aréně izraelské politické rivality.	He was less adept in political infighting in Israel.
Dokázal být nelítostným bojovníkem a chránit své území, a přesto je pravda, že po roce 1967 mohl ve vládě, v níž pracoval, za své umírněné názory nakloněné dialogu bojovat neoblomněji.	He could be a fierce turf fighter, yet it is fair to say that he could have fought harder for his moderate and dovish views in the post-1967 government in which he served.
Vezmeme-li v úvahu neexistenci nezávislé politické základny, vůbec není jisté, zda by zvítězil, ale kdyby se byl rozhodl hodit rukavici svým protivníkům, jeho mezinárodní prestiž a pozice by mu dávaly šanci uspět.	It is far from clear if he would have prevailed, given his lack of an independent political base, but his international prestige and standing might have given him a chance if he would have chosen to throw the gauntlet.
Nikdy to ovšem neudělal.	He never did.
Ebanovo mlčení v posledních letech nevycházelo pouze z jeho rozčarování z izraelské politiky či z jeho slábnoucího zdraví.	Eban's silence in the last years was not only a product of his disenchantment with Israeli politics or his failing health.
V době, kdy je veřejná debata v Izraeli rozpolcená mezi názory pseudonáboženských nacionalistických fanatiků a antisionistů, kteří se převlékají za postmodernisty, může Ebanovo morální přesvědčení při veškeré jeho jemnosti vyznít plytce.	At a time when public debate in Israel is torn between pseudo-religious nationalist fanatics and anti-Zionists masquerading as post-modernists, the moral certitudes of Eban, for all their urbanity, may sound shallow.
Ale budování národa vyžaduje morální výdrž a té dal Eban svému lidu i světu požehnaně.	But nation-building requires moral stamina, and Eban provided it to his people and the world in abundance.
Přestože jsem s Ebanem v posledních letech nemluvil, nepochybuji o tom, že byl nesmírně nešťastný kvůli zvratu událostí po neúspěchu dohod z Camp Davidu a Taby v letech 2000 až 2001 a že současný kurz izraelské politiky by jej naplňoval zlými předtuchami.	Without having spoken to Eban in the last few years, I have no doubt that he would be extremely unhappy about the turn of events after the failure of Camp David and Taba in 2000-01, and the present course of Israeli policies would fill him with foreboding.
A přesto by s největší pravděpodobností byl ještě hlouběji zklamán neschopností Palestinců vyrovnat se s existencí židovského státu.	Yet in all probability he would have been even more deeply disappointed in the inability of the Palestinians to come to terms with the existence of the Jewish state.
Coby vystudovaný arabista pohroužený do arabské a muslimské kultury Eban stále doufal, že bude možné oživit skvělou arabskou minulost a že arabská a muslimská kultura tolerance může zvítězit nad fanatismem a extremismem.	As an Arabist by training, immersed in Arab and Muslim culture, he always hoped that the glorious Arab past could be rejuvenated, that an Arab and Muslim culture of tolerance could triumph over fanaticism and extremism.
To byl základní princip jeho víry v usmíření mezi Židy a Araby.	This was the bedrock of his hope for reconciliation between Jew and Arab.
To, že se tato arabská renesance - abychom užili termínu vynikajícího palestinského učence George Antonia - neuskutečnila, možná bylo Ebanovým největším zklamáním.	That this Arab renaissance - to use the phrase of the great Palestinian scholar George Antonius - did not take place may have been Eban's greatest disappointment.
Navzdory dojmu aristokratičnosti, který vzbuzoval, byl Eban velmi zranitelný: to, co někteří občas vnímali jako znaky ješitnosti, zřejmě pramenilo z jeho prostého původu.	Despite the high-born image Eban projected, he was an extremely vulnerable person: what some occasionally discerned as traits of vanity may have had their origins in his humble origins.
Ač se zdálo, že vládne královskou angličtinou, Eban se nenarodil s modrou krví: pocházel z nanejvýš prostého okraje angložidovského prostředí.	While appearing to own the Queen's English, Eban was not to the manor born: he came from the extremely modest fringes of Anglo-Jewry.
Vypracoval se vlastní silou a svých úspěchů dosáhl díky odvaze, ctižádosti, elánu a niterné víře ve vlastní osud.	He was, in the true sense of the word, a self-made man, whose pluck, ambition, drive and inner belief in his destiny carried him to the pinnacle of his achievements.
Patřil k aristokratům ducha.	His was the aristocracy of the spirit.
A právě v tom byl Abba Eban opravdovým představitelem národa, který tak majestátně reprezentoval.	In this Abba Eban was a true representative of the people he so gloriously represented.
	
Abdulláh jde s kůží na trh	Abdullah Out On A Limb
Mírový návrh saúdského korunního prince Abdulláha se zrodil v Saúdské Arábii, ale podle některých zdrojů měl vzniknout v USA.	
Jako první se o něm dozvěděl jistý americký novinář během soukromé večeře se samotným korunním princem.	
Jde o plán ,,úplné normalizace`` vztahů mezi Izraelem a všemi arabskými zeměmi, výměnou za což se má Izrael stáhnout ze všech palestinských území, která od roku 1967 okupuje. Návrh na sebe soustředí pozornost také během schůzky prezidenta Bushe a korunního prince v Texasu, ale jeho životnost závisí na tom, jak jej přijme arabský summit, který se příští středu sejde v Bejrútu.	Crown Prince Abdullah’s peace proposal was born in Saudi Arabia but some allege that it was conceived in the US. Revealed to a visiting American journalist during a private dinner with the Crown Prince, the plan centers on a “full normalization” of relations between Israel and all Arab countries, in return for an Israeli withdrawal from all the Palestinian territories it occupied in 1967. The proposal may get a boost when Abdullah meet President Bush in Texas later this spring, but its early survival depends first on its reception at the upcoming Arab summit in Beirut.
Pochybnosti kolem Abdulláhovy mírové iniciativy, které ji líčí jako nezdařenou od samého počátku, vycházejí z názoru, že vznikla s cílem uklidnit americké kritiky Saúdské Arábie a odvrátit jejich pozornost od saúdskoarabských domácích problémů. Od 11. září je Saúdská Arábie pod enormním tlakem a musí vysvětlovat (a ospravedlňovat) své kontakty s al-Kájdou, poněvadž patnáct z devatenácti únosců mělo saúdskoarabský pas (vlastně většina vězňů na americké vojenské základně v Guantánamu jsou údajně Saúdští Arabové) a poněvadž Saúdská Arábie je často považována za hlavní zdroj financování al-Kájdy.	The suspicions which surround Abdullah’s peace initiative, and which dismiss it as stillborn, are founded in the belief that it was conceived to appease Saudi Arabia’s American critics and to divert them from focussing on Saudi domestic tensions. Since September 11th, Saudi Arabia has felt intense pressure to explain (and explain away) its links to Osama bin Laden’s al-Qaeda terrorist network because fifteen of the nineteen plane hijackers were Saudis (indeed, the majority of prisoners held by the US at Guantanamo Bay in Cuba are said to be Saudi citizens) and Saudis are often viewed as a major source of al-Qaeda’s finances. Moreover, it is alleged that the Saudi government has become preoccupied with appeasing America, despite the beginning of the second Palestinian intifada, and Israel’s ongoing occupation of Palestine.
Saúdskoarabská vláda se teď prý snaží Ameriku uklidňovat, bez ohledu na to, že druhá intifáda je v plném proudu a že Izrael pokračuje v okupaci Palestiny.	
Spolu s tím se vyhrocuje veřejné mínění v Saúdské Arábii, především z důvodu zjevné apatie saúdské panovnické rodiny vůči mizérii palestinského národa, zejména v kontrastu s bin Ládinovou smrtonosnou propagandou. Od teroristických útoků z 11. září saúdští vládci cítí, že musí vyjít vstříc veřejnosti a jejímu nesouhlasu s trýzněním Palestinců, ale obávají se, že když tak učiní, ohrozí už beztak křehké vztahy s Amerikou ještě více.	At the same time, Saudi public opinion has been inflamed, mostly because of their rulers’ apparent apathy toward the plight of the Palestinian people, particularly when contrasted with Osama bin Laden’s lethal propaganda. Since the terrorist attacks of September 11th, Saudi leaders have felt pressed to accommodate public revulsion about the mistreatment of the Palestinians, but worry that doing so may even further jeopardize their now brittle relations with America.
Iniciativa korunního prince Abdulláha svět převážně překvapila, ovšem ne proto, že by šlo o naprosto novou myšlenku, ale proto, kde a v jaké době vznikla.	
Návrh na ,,úplnou normalizaci``, přicházející z islámské země, která svou legitimitu staví na přísné islámské doktríně wahhábovců, je až nebývale pokrokový. Dlouho a pečlivě pěstovaný obrázek Saúdské Arábie jako země stabilní, shovívavé a mysticky harmonické však americký tisk svou neustálou kritikou už rozbil.	Crown Prince Abdullah’s initiative provoked widespread surprise, not because the idea is so startlingly new, but because of its source and timing. A proposal for “full normalization” with Israel coming from an Islamic regime that bases its legitimacy on the austere Islamic doctrines of the Wahhabi seems both peculiar and progressive. But Saudi Arabia’s long-cultivated image of stability, benevolence, and mystical communal harmony has given way under the endless glare of the American press. Its educational system, too, is increasingly portrayed as a breeding ground for hatred of the West. Something had to give.
Navíc i saúdskoarabský školský systém se dnes běžně popisuje jako semeniště nenávisti vůči Západu.	
Něco se s tím už muselo dělat.	
Americký zdánlivě odmítavý zájem o tuto iniciativu vyvolal domněnku, že v mírové iniciativě korunního prince Abdalláha jde nejspíše o saúdskoarabskou propagandistickou protiofenzívu, pojatou na velvyslanectví Saúdské Arábie ve Washingtonu s cílem překlenout rozpory se Spojenými státy. Následné hromové ticho dalších saúdských politiků k tomuto návrhu jako by potvrzovalo, že šlo o reklamní tah, pro nějž oni nemusejí riskovat nic ze svého vlastního domácího politického kapitálu.	America’s seemingly hostile attention gave rise to the speculation that Crown Prince Abdullah’s initiative really denotes a Saudi public relations counteroffensive, hatched in the Saudi embassy in Washington to cover over the rift with the US. Indeed, the subsequent, deafening silence by other Saudi leaders to the proposal appears to confirm it as a public relations move for which they need not risk any of their own domestic political capital.
Ačkoli Západ za saúdskoarabského vůdce obvykle považuje Abdulláha, skutečnou moc v království představuje šest neduživých vlastních bratrů krále Fahda. Král a jeho bratři, společně označovaní jako ,,Sudairiové`` nezaujali vlastně žádné stanovisko - ať už kladné či záporné.	Although Abdullah is usually referred to in the West as Saudi Arabia’s ruler, the debilitated King Fahd’s six full brothers are the ones who truly represent the real power in the Kingdom. Almost nothing, neither in support nor in opposition, has been uttered by the King and these other brothers, collectively known as the “Sudairis.”
Sudairiové, zdá se, nechali svého nevlastního bratra na holičkách. Abdulláhův návrh by tak mohl významně oslabit jeho domácí postavení, především ve vztahu k vlivným saúdskoarabským islamistům.	The Sudairis, it seems, have apparently left their half brother alone to twist in the wind. Abdullah’s proposal could weaken his position domestically, particularly in relation to the country’s powerful Islamists.
Poněvadž i když korunní princ Abdulláh má kolem sebe svou vlastní loajální družinu včetně Národní gardy, odporu čelí hlavně ze strany nejvyšších náboženských představitelů.	For although Crown Prince Abdullah has his own loyal entourage, including the National Guard, he confronts opposition from senior figures in the religious establishment.
Myšlenka normalizace vztahů s Izraelem vyvolala u některých imámů krajní odpor - v mešitách i na internetu.	The idea of normalizing relations with Israel has incited fierce hostility among some imams in the mosques as well as on the Internet.
Proto byl nakonec Abdulláhův původní návrh rozředěn až do té míry, že když se 8. března v Káhiře konala schůzka ministrů zahraničních věcí arabských států, z ,,úplné normalizace`` zbyl už jen ,,úplný mír`` - ovšem kdoví, co tento termín vlastně znamená.	As a result, Abdullah’s initial proposal has been diluted, so much so that, by the time of the Arab foreign ministers meeting held in Cairo on 8 March, the phrase “full normalisation” was watered down to the more amorphous phrase “full peace,” the meaning of which no one knows.
Znamená to snad, že v Rijádu bude viset vlajka s Davidovou hvězdou, nebo že Abdulláh pojede do Jeruzaléma, kde jej polibkem přivítá sám Ariel Saron? Kdoví, ale už jen to, že si tyto otázky někdo v Saúdské Arábii klade, znamená pro Abdulláha obrovské riziko.	Does it mean an Israeli Star of David flag flying in Riyadh, or that Abdullah will visit Jerusalem to be greeted with a kiss from Ariel Sharon? No one knows, but the very fact that such questions are being raised in Saudi Arabia poses a serious risk to Abdullah.
Je slyšet námitky také proti tomu, že se plán korunního prince nezmiňuje o právech Palestinců v exilu na návrat do svých domovů na Západním břehu, v pásmu Gazy i v samotném Izraeli, a že Arabové musí své diplomatické iniciativy uzpůsobovat vkusu amerického tisku. Běžný obyvatel Saúdské Arábie tuto iniciativu považuje za zradu či za předehru nové potupy Arabů.	Objections are also voiced against the fact that the Crown Prince’s plan does not mention the right of exiled Palestinians to return to their homes in the West Bank and Gaza, as well as Israel proper, and that Arabs must tailor their diplomatic initiatives to the taste of the American media. To the average Saudi, the initiative appears as either a sell-out or the prelude to a fresh Arab humiliation. In either case, it is widely feared that either of these outcomes is intended simply to appease America.
Stále více obyvatel pak věří, že ať už je jejím cílem první nebo druhé, jde v prvé řadě o to, nerozházet si to s Amerikou.	
V blízkovýchodních reakcích se odrážejí odvěká politická rivalita i obavy z amerických a izraelských záměrů. Egypt Abdulláhův návrh vnímá jako pouhý dialog, jako cosi zdaleka ne tak závažného jako písemná diplomatická iniciativa.	Reactions in the Middle East reflect longstanding rivalries for leadership, as well as fears about American and Israeli intentions. Egypt’s leaders deem the proposal a mere conversation, something not nearly as serious as a written diplomatic initiative. Libya offered its own supposedly more “encompassing and comprehensive” proposal.
Libye předložila svůj vlastní, údajně mnohem ,,obsažnější a ucelenější`` návrh. Mohammed Fadlalláh, vůdce hnutí Hizbulláh, definoval tuto iniciativu jako výraz arabského podrobení a Sýrie žádá záruku svých zájmů v Golanských výšinách.	Hizbollah’s leader Mohammed Fadlallah defined the initiative as one of Arab submission, while Syria demanded a guarantee of its interests in the Golan Heights.
Úředníci Ligy arabských států pak návrh odsouhlasili.	Arab League officials approved the proposal.
Iniciativa korunního prince Abdulláha má být oficiálně přednesena na summitu Ligy arabských států v Bejrútu, který se koná ve dnech 27. a 28. března.	Crown Prince Abdullah’s initiative is meant to be made official during a speech at the Arab League summit in Beirut of 27-28 March.
To, jak bude přijata, může rozhodnout nejen o tom, jak se budou do budoucna vyvíjet izraelsko-palestinské vztahy, ale i o míru uvnitř Saúdské Arábie.	How it is received may not only determine the state of Israel-Palestine negotiations for a considerable time to come, but Saudi Arabia’s domestic peace as well.
	
Berlínský konsenzus?	A Berlin Consensus?
HONGKONG – Nedávná cesta do Berlína ve mně vyvolala vzpomínky na dřívější návštěvu v létě 1967, kdy jsem jako chudý student žasl nad Zdí, která měla ještě další dvě desítky let rozdělovat a pustošit celou společnost.	HONG KONG – A recent trip to Berlin brought back memories of an earlier visit in the summer of 1967, when I was a poor student who marveled at the Wall that would divide and devastate an entire society for another two decades.
Dnešní Berlín, živý a omlazený, obrozený pilnou prací německého lidu a jeho obětí ve prospěch sjednocení země, byl příhodným prostředím pro konferenci Institutu pro nové ekonomické myšlení (INET), kvůli níž jsem tam přicestoval.	Berlin today is vibrant and rejuvenated, rebuilt by the German peoples' hard work and sacrifice to unify the country, and an apt setting for the conference of the Institute for New Economic Thinking (INET), which I was there to attend.
Na konferenci na téma „Ztracené paradigma“ se sešlo přes 300 ekonomů, politologů, systémových analytiků a ekologů, aby revidovali ekonomickou a politickou teorii s ohledem na výzvy a nejistoty, jež přináší narůstající nerovnost, zvyšující se nezaměstnanost, globální finanční zmatek a změna klimatu.	The conference’s theme was “Paradigm Lost,” with more than 300 economists, political scientists, systems analysts, and ecologists gathering to rethink economic and political theory for the challenges and uncertainty posed by growing inequality, rising unemployment, global financial disarray, and climate change.
Téměř všichni se shodli, že staré paradigma neoklasické ekonomie je rozvrácené, leč nebyla shoda v tom, co by jej mohlo nahradit.	Almost everyone agreed that the old paradigm of neoclassical economics was broken, but there was no agreement on what can replace it.
Laureát Nobelovy ceny Amartya Sen přičetl evropskou krizi čtyřem selháním – politickému, ekonomickému, sociálnímu a intelektuálnímu.	Nobel laureate Amartya Sen attributed the European crisis to four failures – political, economic, social, and intellectual.
Globální finanční krize, která začala v roce 2007 jako krize podřadných hypoték v USA a rozšířila se do evropské krize suverénního dluhu (a bank), přinesla otázky, na něž nedokážeme odpovědět, vinou nadměrné specializace a fragmentace znalostí.	The global financial crisis, which began in 2007 as a crisis of US subprime lending and has broadened into a European sovereign-debt (and banking) crisis, has raised questions that we cannot answer, owing to over-specialization and fragmentation of knowledge.
Nikdo však nepopírá, že se svět příliš zkomplikoval na jednoduchou všezahrnující teorii, která by vysvětlovala spletité ekonomické, technologické, demografické a environmentální posuny.	And yet there is no denying that the world has become too intricate for any simple, overarching theory to explain complex economic, technological, demographic, and environmental shifts.
Konkrétně jde o to, že vzestup rozvíjejících se trhů zpochybnil tradiční západní deduktivní a induktivní logiku.	In particular, the rise of emerging markets has challenged traditional Western deductive and inductive logic.
Deduktivní vyvozování nám umožňuje předpovídat účinky, jestliže známe principy (pravidlo) a příčinu.	Deductive inference enables us to predict effects if we know the principles (the rule) and the cause.
Induktivním uvažováním dokážeme dovodit principy, jestliže známe příčinu a následky.	By inductive reasoning, if we know the cause and effects, we can infer the principles.
Východní myšlení je naproti tomu abduktivní, takže se pohybuje od pragmatismu k odhadování dalších kroků.	Eastern thinking, by contrast, has been abductive, moving from pragmatism to guessing the next steps.
Abduktivní inference je pragmatická, sleduje pouze výsledky, pravidlo odhaduje a zjišťuje příčinu.	Abductive inference is pragmatic, looking only at outcomes, guessing at the rule, and identifying the cause.
Teorii společenských věd píšou, podobně jako historii, vítězové a utváří ji kontext a výzvy doby.	Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Volnotržní uvažování se vyvíjelo od anglosaských teoretiků (mnozí byli ze Skotska), kteří migrovali a kolonizovali nová území, přičemž jedincům, jimž přálo štěstí, dávali možnost předpokládat, že spotřeba nemá hranice.	Free-market thinking evolved from Anglo-Saxon theorists (many from Scotland), who migrated and colonized territories, allowing fortunate individuals to assume that there were no limits to consumption.
Evropské kontinentální myšlení, reagující na urbanizaci a nezbytnost společenského řádu, zdůrazňovalo institucionální analýzu politické ekonomie.	European continental thinking, responding to urbanization and the need for social order, emphasized institutional analysis of political economy.
Nástup neoklasické ekonomie v devatenáctém století tak velmi silně ovlivnila newtonovská a karteziánská fyzika, přičemž došlo k posunu od kvalitativní analýzy ke kvantifikaci lidského chování vycházející z předpokladu racionálního chování a odhlížení od nejistoty.	Thus, the emergence of neoclassical economics in the nineteenth century was very much influenced by Newtonian and Cartesian physics, moving from qualitative analysis to quantifying human behavior by assuming rational behavior and excluding uncertainty.
Toto myšlení založené na „předurčené rovnováze“ – promítající se do názoru, že trhy se vždy samy korigují – vedlo k paralýze politik za Velké hospodářské krize, kdy nabrala na síle argumentace Johna Maynarda Keynese ve prospěch vládních intervencí zacílených na řešení nezaměstnanosti a mezer výstupu.	This “predetermined equilibrium” thinking – reflected in the view that markets always self-correct – led to policy paralysis until the Great Depression, when John Maynard Keynes’s argument for government intervention to address unemployment and output gaps gained traction.
Do 70. let neoklasická škola všeobecné rovnováhy už keynesiánskou ekonomii dobyla pomocí modelů reálného sektoru, jež předpokládaly, že „finance jsou závoj“, takže nevěnovaly pozornost destabilizačním účinkům finančních trhů.	By the 1970’s, the neoclassical general-equilibrium school captured Keynesian economics through real-sector models that assumed that “finance is a veil,” thereby becoming blind to financial markets’ destabilizing effects.
Ekonomové jako Hyman Minsky, kteří se to snažili korigovat, byli vesměs přehlíženi, zatímco Milton Friedman a další v čele profese prosazovali volné trhy a minimální zásahy vlád.	Economists like Hyman Minsky, who tried to correct this, were largely ignored as Milton Friedman and others led the profession’s push for free markets and minimal government intervention.
Jenže technika, demografický vývoj a globalizace přinesly dramatické nové výzvy, jež neoklasický přístup nedokázal předvídat.	But then technology, demographics, and globalization brought dramatic new challenges that the neoclassical approach could not foresee.
Zatímco vyspělé země světa pomocí pákového efektu derivátového finančnictví žily nadspotřebou, čtyři miliardy z celkových sedmi miliard lidí na světě se začaly posouvat do středněpříjmového postavení, což vyvolalo obrovské nároky na globální zdroje a upozornilo na problém ekologické udržitelnosti.	Even as the world’s advanced countries over-consumed through leveraging from derivative finance, four billion of the world’s seven billion people began moving to middle-income status, making huge demands on global resources and raising the issue of ecological sustainability.
Zvládnutí těchto rozsáhlých a systémových změn, jakož i integrace obrů typu Číny a Indie do moderního světa vyžaduje nové myšlení.	New thinking is required to manage these massive and systemic changes, as well as the integration of giants like China and India into the modern world.
Změna uvažování je nutná nejen na Západě, ale i na Východě.	A change of mindset is needed not just in the West, but also in the East.
Číně to v roce 1987 vysvětlil historik Ray Huang:	In 1987, the historian Ray Huang explained it for China:
„Jak svět vstupuje do moderní éry, většina zemí pod vnitřním i vnějším tlakem se musí transformovat tím, že styl řízení vycházející z agrární zkušenosti nahradí novou soustavou pravidel založených na obchodování… To je snazší říct než udělat.	“As the world enters the modern era, most countries under internal and external pressure need to reconstruct themselves by substituting the mode of governance rooted in agrarian experience with a new set of rules based on commerce.…This is easier said than done.
Obrodný proces by mohl zasáhnout horní i dolní vrstvu a je nevyhnutelně nutné upravit institucionální vazby mezi nimi.	The renewal process could affect the top and bottom layers, and inevitably it is necessary to recondition the institutional links between them.
Na místě je často naprostá destrukce; a může trvat desítky let, než se dílo dokončí.“	Comprehensive destruction is often the order; and it may take decades to bring the work to completion.”
Pomocí tohoto makrohistorického rámce vidíme japonskou deflaci, evropský dluh, ba i Arabské jaro jako fáze systémových změn ve spletitých strukturách, které spolu interagují v nové, multipolární globální soustavě.	Using this macro-historical framework, we can see Japanese deflation, European debt, and even the Arab Spring as phases of systemic changes within complex structures that are interacting with one another in a new, multipolar global system.
Jsme svědky souběžné globální konvergence (zužování mezer v příjmech, bohatství a znalostech mezi zeměmi) a lokální divergence (rozšiřování mezer v příjmech, bohatství a znalostech uvnitř zemí).	We are witnessing simultaneous global convergence (the narrowing of income, wealth, and knowledge gaps between countries) and local divergence (widening income, wealth, and knowledge gaps within countries).
Adaptivní systémy se během svého vývoje perou s řádem a tvořivostí.	Adaptive systems struggle with order and creativity as they evolve.
Jasnozřivě to vyjádřil filozof Bertrand Russell: „Bezpečí a spravedlnost vyžadují centralizované vládní řízení, které musí dospět k vytvoření světové vlády, má-li být efektivní.	As the philosopher Bertrand Russell presciently put it: “Security and justice require centralized governmental control, which must extend to the creation of a world government if it is to be effective.
Pokrok naopak vyžaduje co největší rozsah osobní iniciativy, která je se společenským řádem slučitelná.“	Progress, on the contrary, requires the utmost scope for personal initiative that is compatible with social order.”
Probíhá nová vlna toho, co ekonom Joseph Schumpeter proslule označil za „kreativní destrukci“: přestože se centrální banky zaplavováním trhů likviditou usilovně snaží zachovat stabilitu, úvěrů pro podniky a domácnosti ubývá.	A new wave of what the economist Joseph Schumpeter famously called “creative destruction” is under way: even as central banks struggle to maintain stability by flooding markets with liquidity, credit to business and households is shrinking.
Žijeme v době souběžného strachu z inflace i deflace, bezprecedentní prosperity vprostřed narůstající nerovnosti a technologických pokroků za současného vyčerpávání zdrojů.	We live in an age of simultaneous fear of inflation and deflation; of unprecedented prosperity amid growing inequality; and of technological advancement and resource depletion.
Stávající politické systémy přitom slibují slušná pracovní místa, zdravou správu věcí veřejných, udržitelné životní prostředí a sociální harmonii bez obětí – ráj sobeckých černých pasažérů, který lze zachovat jedině tím, že obětujeme přirozené životní prostředí a blahobyt budoucích generací.	Meanwhile, existing political systems promise good jobs, sound governance, a sustainable environment, and social harmony without sacrifice – a paradise of self-interested free riders that can be sustained only by sacrificing the natural environment and the welfare of future generations.
Tištěním peněz nelze bolest korekce oddalovat donekonečna.	We cannot postpone the pain of adjustment forever by printing money.
Udržitelnosti lze dosáhnout jedině tím, že movití projeví ochotu přinést oběť méně movitým.	Sustainability can be achieved only when the haves become willing to sacrifice for the have-nots.
Washingtonský konsenzus volnotržních reforem pro rozvojové země skončil před více než dvěma desetiletími.	The Washington Consensus of free-market reforms for developing countries ended more than two decades ago.
Konference INET v Berlíně poukázala na potřebu nového konsenzu, který bude oporou oběti v zájmu jednoty.	The INET conference in Berlin showed the need for a new one – a consensus that supports sacrifice in the interest of unity.
Evropa by toho mohla využít.	Europe could use it.
	
Lepší a bezpečnější Evropa	A Better and Safer Europe
Pro mnoho lidí, mě v to počítaje, je rozšíření Severoatlantické aliance - mimo jiné také o bývalé sovětské republiky Estonsko, Lotyšsko a Litvu - splněním nemožného snu.	To many, myself included, NATO's enlargement to take in, among others, the Baltic states of Estonia, Latvia, and Lithuania -- which were once Soviet republics -- is an impossible dream come true.
